fuente,source_id,motivo
TM,351335,duplicado_evento
TM,352339,duplicado_evento
TM,352434,duplicado_evento
TM,354153,duplicado_evento
TM,356299,duplicado_evento
TM,359163,duplicado_evento
TM,360533,duplicado_evento
TM,361854,duplicado_evento
TM,362093,duplicado_evento
TM,76890,duplicado_evento
TM,84050,duplicado_evento
TM,86863,duplicado_evento
TM,89229,duplicado_evento
TM,93740,duplicado_evento
TM,96401,duplicado_evento
TM,101951,duplicado_evento
TM,104403,duplicado_evento
TM,110102,duplicado_evento
TM,111833,duplicado_evento
TM,111917,duplicado_evento
TM,118982,duplicado_evento
TM,119566,duplicado_evento
TM,126763,duplicado_evento
TM,127842,duplicado_evento
TM,128506,duplicado_evento
TM,264354,duplicado_evento
TM,265599,duplicado_evento
TM,271573,duplicado_evento
TM,281185,duplicado_evento
TM,301218,duplicado_evento
TM,301763,duplicado_evento
TM,303255,duplicado_evento
TM,303483,duplicado_evento
TM,314177,duplicado_evento
TM,317788,duplicado_evento
TM,318559,duplicado_evento
TM,195341,duplicado_evento
TM,196406,duplicado_evento
TM,209431,duplicado_evento
TM,211300,duplicado_evento
TM,212783,duplicado_evento
TM,220276,duplicado_evento
TM,221025,duplicado_evento
TM,227370,duplicado_evento
TM,230381,duplicado_evento
TM,239344,duplicado_evento
TM,242814,duplicado_evento
TM,242981,duplicado_evento
TM,257265,duplicado_evento
TM,269652,duplicado_evento
TM,278187,duplicado_evento
TM,280927,duplicado_evento
TM,287441,duplicado_evento
TM,293501,duplicado_evento
TM,301966,duplicado_evento
TM,308453,duplicado_evento
TM,313604,duplicado_evento
TM,320248,duplicado_evento
TM,2916,duplicado_evento
TM,6390,duplicado_evento
TM,8630,duplicado_evento
TM,15429,duplicado_evento
TM,19181,duplicado_evento
TM,28574,duplicado_evento
TM,29574,duplicado_evento
TM,31137,duplicado_evento
TM,37972,duplicado_evento
TM,54259,duplicado_evento
TM,57678,duplicado_evento
TM,68553,duplicado_evento
TM,72896,duplicado_evento
TM,87792,duplicado_evento
TM,96230,duplicado_evento
TM,99975,duplicado_evento
TM,112544,duplicado_evento
TM,119359,duplicado_evento
TM,124001,duplicado_evento
TM,126419,duplicado_evento
TM,128207,duplicado_evento
TM,67558,duplicado_evento
TM,67790,duplicado_evento
TM,68392,duplicado_evento
TM,68826,duplicado_evento
TM,83002,duplicado_evento
TM,94885,duplicado_evento
TM,95151,duplicado_evento
TM,105064,duplicado_evento
TM,108088,duplicado_evento
TM,110094,duplicado_evento
TM,116751,duplicado_evento
TM,117009,duplicado_evento
TM,118290,duplicado_evento
TM,126255,duplicado_evento
TM,128447,duplicado_evento
TM,130863,duplicado_evento
TM,137682,duplicado_evento
TM,139432,duplicado_evento
TM,146140,duplicado_evento
TM,152187,duplicado_evento
TM,153452,duplicado_evento
TM,153805,duplicado_evento
TM,155230,duplicado_evento
TM,157845,duplicado_evento
TM,159092,duplicado_evento
TM,176044,duplicado_evento
TM,178196,duplicado_evento
TM,184947,duplicado_evento
TM,196623,duplicado_evento
TM,196680,duplicado_evento
TM,202457,duplicado_evento
TM,210289,duplicado_evento
TM,212361,duplicado_evento
TM,213163,duplicado_evento
TM,214506,duplicado_evento
TM,215263,duplicado_evento
TM,225913,duplicado_evento
TM,226328,duplicado_evento
TM,226906,duplicado_evento
TM,229885,duplicado_evento
TM,233432,duplicado_evento
TM,241351,duplicado_evento
TM,247205,duplicado_evento
TM,251808,duplicado_evento
TM,271070,duplicado_evento
TM,273184,duplicado_evento
TM,283562,duplicado_evento
TM,287267,duplicado_evento
TM,290358,duplicado_evento
TM,293440,duplicado_evento
TM,300030,duplicado_evento
TM,310296,duplicado_evento
TM,329199,duplicado_evento
TM,333752,duplicado_evento
TM,339214,duplicado_evento
TM,341255,duplicado_evento
TM,346161,duplicado_evento
TM,357173,duplicado_evento
TM,360655,duplicado_evento
TM,361819,duplicado_evento
TM,983,duplicado_evento
TM,13929,duplicado_evento
TM,15436,duplicado_evento
TM,19473,duplicado_evento
TM,19526,duplicado_evento
TM,20476,duplicado_evento
TM,21304,duplicado_evento
TM,38866,duplicado_evento
TM,40284,duplicado_evento
TM,42498,duplicado_evento
TM,45127,duplicado_evento
TM,50412,duplicado_evento
TM,54005,duplicado_evento
TM,56073,duplicado_evento
TM,70210,duplicado_evento
TM,75560,duplicado_evento
TM,92652,duplicado_evento
TM,92656,duplicado_evento
TM,96631,duplicado_evento
TM,97937,duplicado_evento
TM,98848,duplicado_evento
TM,99576,duplicado_evento
TM,99934,duplicado_evento
TM,101907,duplicado_evento
TM,102744,duplicado_evento
TM,106621,duplicado_evento
TM,114028,duplicado_evento
TM,117170,duplicado_evento
TM,120926,duplicado_evento
TM,121922,duplicado_evento
TM,122386,duplicado_evento
TM,124827,duplicado_evento
TM,124906,duplicado_evento
TM,130166,duplicado_evento
TM,140161,duplicado_evento
TM,141271,duplicado_evento
TM,143047,duplicado_evento
TM,143455,duplicado_evento
TM,144041,duplicado_evento
TM,148671,duplicado_evento
TM,161545,duplicado_evento
TM,166976,duplicado_evento
TM,172085,duplicado_evento
TM,178308,duplicado_evento
TM,198644,duplicado_evento
TM,206081,duplicado_evento
TM,206478,duplicado_evento
TM,209783,duplicado_evento
TM,215167,duplicado_evento
TM,218499,duplicado_evento
TM,222204,duplicado_evento
TM,224125,duplicado_evento
TM,228789,duplicado_evento
TM,244896,duplicado_evento
TM,250725,duplicado_evento
TM,258604,duplicado_evento
TM,265114,duplicado_evento
TM,267564,duplicado_evento
TM,284179,duplicado_evento
TM,295689,duplicado_evento
TM,306774,duplicado_evento
TM,318189,duplicado_evento
TM,320159,duplicado_evento
TM,326559,duplicado_evento
TM,332597,duplicado_evento
TM,332998,duplicado_evento
TM,340922,duplicado_evento
TM,344115,duplicado_evento
TM,344888,duplicado_evento
TM,360449,duplicado_evento
TM,361684,duplicado_evento
TM,135287,duplicado_evento
TM,141467,duplicado_evento
TM,144529,duplicado_evento
TM,148990,duplicado_evento
TM,150854,duplicado_evento
TM,162402,duplicado_evento
TM,166910,duplicado_evento
TM,190086,duplicado_evento
TM,192853,duplicado_evento
TM,130565,duplicado_evento
TM,134198,duplicado_evento
TM,136328,duplicado_evento
TM,137972,duplicado_evento
TM,143184,duplicado_evento
TM,147361,duplicado_evento
TM,148893,duplicado_evento
TM,170897,duplicado_evento
TM,176524,duplicado_evento
TM,178212,duplicado_evento
TM,179352,duplicado_evento
TM,181133,duplicado_evento
TM,182070,duplicado_evento
TM,182105,duplicado_evento
TM,189690,duplicado_evento
TM,189922,duplicado_evento
TM,3474,duplicado_evento
TM,3508,duplicado_evento
TM,8047,duplicado_evento
TM,15906,duplicado_evento
TM,17077,duplicado_evento
TM,36980,duplicado_evento
TM,45600,duplicado_evento
TM,53221,duplicado_evento
TM,268172,duplicado_evento
TM,286441,duplicado_evento
TM,291718,duplicado_evento
TM,307937,duplicado_evento
TM,315720,duplicado_evento
TM,319303,duplicado_evento
TM,320580,duplicado_evento
TM,130848,duplicado_evento
TM,131203,duplicado_evento
TM,135032,duplicado_evento
TM,140987,duplicado_evento
TM,143914,duplicado_evento
TM,151380,duplicado_evento
TM,153109,duplicado_evento
TM,155074,duplicado_evento
TM,155770,duplicado_evento
TM,159305,duplicado_evento
TM,164491,duplicado_evento
TM,167713,duplicado_evento
TM,178347,duplicado_evento
TM,181598,duplicado_evento
TM,182112,duplicado_evento
TM,183765,duplicado_evento
TM,189872,duplicado_evento
TM,193635,duplicado_evento
TM,134313,duplicado_evento
TM,153076,duplicado_evento
TM,153543,duplicado_evento
TM,160524,duplicado_evento
TM,164788,duplicado_evento
TM,166227,duplicado_evento
TM,169206,duplicado_evento
TM,183825,duplicado_evento
TM,197263,duplicado_evento
TM,197601,duplicado_evento
TM,66199,duplicado_evento
TM,69110,duplicado_evento
TM,69136,duplicado_evento
TM,77137,duplicado_evento
TM,88143,duplicado_evento
TM,94255,duplicado_evento
TM,94799,duplicado_evento
TM,98827,duplicado_evento
TM,99455,duplicado_evento
TM,102007,duplicado_evento
TM,102787,duplicado_evento
TM,103249,duplicado_evento
TM,110003,duplicado_evento
TM,117329,duplicado_evento
TM,118818,duplicado_evento
TM,123011,duplicado_evento
TM,265871,duplicado_evento
TM,269788,duplicado_evento
TM,269948,duplicado_evento
TM,274059,duplicado_evento
TM,285594,duplicado_evento
TM,289944,duplicado_evento
TM,291307,duplicado_evento
TM,313250,duplicado_evento
TM,315733,duplicado_evento
TM,325255,duplicado_evento
TM,326770,duplicado_evento
TM,16200,duplicado_evento
TM,21604,duplicado_evento
TM,30884,duplicado_evento
TM,31937,duplicado_evento
TM,34492,duplicado_evento
TM,40373,duplicado_evento
TM,46454,duplicado_evento
TM,48691,duplicado_evento
TM,50289,duplicado_evento
TM,50742,duplicado_evento
TM,57670,duplicado_evento
TM,1810,duplicado_evento
TM,3146,duplicado_evento
TM,4135,duplicado_evento
TM,5739,duplicado_evento
TM,9276,duplicado_evento
TM,17066,duplicado_evento
TM,19607,duplicado_evento
TM,29460,duplicado_evento
TM,30923,duplicado_evento
TM,33098,duplicado_evento
TM,35606,duplicado_evento
TM,38297,duplicado_evento
TM,41771,duplicado_evento
TM,59115,duplicado_evento
TM,2437,duplicado_evento
TM,8926,duplicado_evento
TM,10306,duplicado_evento
TM,19851,duplicado_evento
TM,25827,duplicado_evento
TM,30745,duplicado_evento
TM,38114,duplicado_evento
TM,40311,duplicado_evento
TM,48106,duplicado_evento
TM,52669,duplicado_evento
TM,55602,duplicado_evento
TM,56505,duplicado_evento
TM,2488,duplicado_evento
TM,4047,duplicado_evento
TM,4372,duplicado_evento
TM,6161,duplicado_evento
TM,8561,duplicado_evento
TM,14581,duplicado_evento
TM,15481,duplicado_evento
TM,19742,duplicado_evento
TM,29164,duplicado_evento
TM,30200,duplicado_evento
TM,34504,duplicado_evento
TM,35655,duplicado_evento
TM,47256,duplicado_evento
TM,47350,duplicado_evento
TM,52825,duplicado_evento
TM,59184,duplicado_evento
TM,61683,duplicado_evento
TM,62246,duplicado_evento
TM,331490,duplicado_evento
TM,331511,duplicado_evento
TM,338492,duplicado_evento
TM,348985,duplicado_evento
TM,352401,duplicado_evento
